"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Children's literature--History and criticism","general term","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person] ; Colfer, Eoin [person]","Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","Artemis Fowl ; Cirkeln ; Harry Potter","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","","English",""
"Children's literature--History and criticism","general term","018515347","Monograph","Language material ; Text","Online resource","GBB7H4927","9781446434475","","Lurie, Alison","","person","","Lurie, Alison [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England ; United Kingdom","London","Vintage Digital","2011","","1 online resource (256 pages)","809.89282","ELD.DS.187375","Criticsm and interpretation","English",""
"Children's literature--Marketing","general term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Children's stories, English","general term","006901397","Monograph","Language material ; Text","Volume","GBA3V2642","9780747569640","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","","5 volumes (various pagings)","823.914","","Children's fiction","English","In slip case"
"Children's stories, English","general term","006901398","Monograph","Language material ; Text","Volume","GBA3V2643","9780747569633","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2003","Special edition","5 volumes (various pagings)","823.914","","Children's fiction","English","In slip case"
"Children's stories, English","general term","006908062","Monograph","Language material ; Text","Volume","GBA1W2294","9780747557012","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2001","","4 volumes (various pagings), 20 cm","823.914","","Children's fiction","English","In slip case"
"Children's stories, English","general term","007716800","Monograph","Language material ; Text","Volume","GBA2X2330","9780747560722","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the chamber of secrets","","","","England","London","Bloomsbury","2002","Large print edition","506 pages (large print), 25 cm","823.914","LT.2013.x.4132","Children's fiction ; Large print","English",""
"Children's stories, English","general term","007716801","Monograph","Language material ; Text","Volume","GBA2X2329","9780747560777","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2002","Large print edition","640 pages (large print), 25 cm","823.914","LT.2013.x.2380","Children's fiction","English",""
"Children's stories, English","general term","007716802","Monograph","Language material ; Text","Volume","GBA2X2328","9780747560821","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the goblet of fire","","","","England","London","Bloomsbury","2002","Large print edition","1088 pages (large print), illustrations, 24 cm","823.914","LT.2013.x.1950","Children's fiction","English",""
"Children's stories, English","general term","013507712","Monograph","Language material ; Text","Volume","GBA660759","9780747586678","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter paperback boxed set","","","","England","London","Bloomsbury","2006","","6 volumes, 20 cm","823.914","","Children's fiction","English",""
"Children's stories, English","general term","013767346","Monograph","Language material ; Text","Volume","GBA745306","9780747593683","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","Special edition","7 volumes","823.914","","Children's fiction","English","In slip case"
"Children's stories, English","general term","013767347","Monograph","Language material ; Text","Volume","GBA745307","9780747593690","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2007","","7 volumes","823.914","","Children's fiction","English","In slip case"
"Children's stories, English","general term","014662273","Monograph","Language material ; Text","Volume","GBA885662","9780747595854","","Rowling, J. K.","","person","","Rowling, J. K. [person]","The complete Harry Potter collection","","","","England","London","Bloomsbury","2008","","7 volumes","823.914","","Children's fiction","English","In box"
"Children's stories, English","general term","015595087","Monograph","Language material ; Text","Volume","GBB081444","9781408812525","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2010","","7 volumes, 20 cm","823.914","","Children's fiction","English","In slip case ; Originally published: 2008"
"Children's stories, English","general term","015851494","Monograph","Language material ; Text","Volume","GBB186347","9781408825945","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter","","","","England","London","Bloomsbury","2011","","7 volumes, 20 cm","823.92","","Children's fiction","English","In slip case"
"Children's stories, English","general term","017863575","Monograph","Language material ; Text","Online resource (ebook)","GBB673826","9781781106464","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter : the complete collection","Harry Potter and the Deathly Hallows ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Novels. Selections","","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction","English",""
"Children's stories, English","general term","018138732","Monograph","Language material ; Text","Online resource","GBB6K5931","9781429544672 ; 9781429544702 ; 9781440636615","","Stouffer, Tere","","person","","Stouffer, Tere [person]","The complete idiot's guide to the world of Harry Potter","World of Harry Potter","The complete idiot's guide","","United States of America","New York","Alpha","2008","","1 online resource, illustrations","823.914","ELD.DS.104624","Criticsm and interpretation ; Handbook or manual","English",""
"Children's stories, English--20th century--History and criticism","general term","017700241","Monograph","Language material ; Text","Volume","GBB7A3831","9781619255197","","","","","","Whited, Lana A., 1958-, editor [person] ; Grimes, M. Katherine, editor [person]","The Harry Potter series","","Critical insights","","United States of America","Ipswich, Massachusetts","Salem","2015","","ix, 356 pages, 24 cm","823.914","YC.2017.a.7187","","English",""
"Children's stories, English--21st century--History and criticism","general term","017700241","Monograph","Language material ; Text","Volume","GBB7A3831","9781619255197","","","","","","Whited, Lana A., 1958-, editor [person] ; Grimes, M. Katherine, editor [person]","The Harry Potter series","","Critical insights","","United States of America","Ipswich, Massachusetts","Salem","2015","","ix, 356 pages, 24 cm","823.914","YC.2017.a.7187","","English",""
"Children's stories, English--Appreciation","general term","006916294","Monograph","Language material ; Text","Volume","GBA1W0654","9780312282547","","","","","","Moore, Sharon, 1969- [person]","Harry Potter, you're the best! : a tribute from fans the world over","","","","England ; United States of America","Maidenhead ; New York","Melia ; St Martin's","2001","1st edition","xiii, 156 pages, illustrations, 21 cm","823.914","","","English",""
"Children's stories, English--Appreciation","general term","008028793","Monograph","Language material ; Text","Volume","","9783631387436","","Bürvenich, Paul","","person","","Bürvenich, Paul [person]","Der Zauber des Harry Potter : Analyse eines literarischen Welterfolgs","","","","Germany ; United States of America","Frankfurt am Main ; New York","Lang","2001","","212 pages, 21 cm","","YA.2003.a.1901","","German",""
"Children's stories, English--Appreciation","general term","017525887","Monograph","Language material ; Text","Volume","GBB631972","9780786496570","","","","","","Brenner, Lisa S., editor [person]","Playing Harry Potter : essays and interviews on fandom and performance","","","","United States of America","Jefferson, North Carolina","McFarland","2015","","x, 238 pages, illustrations, 23 cm","823.914","YK.2016.a.850","","English",""
"Children's stories, English--Authorship","general term","009501238","Monograph","Language material ; Text","Volume","GBA202419","9781903402337","","Shapiro, Marc","","person","","Shapiro, Marc [person]","JK Rowling : the wizard behind Harry Potter","J K Rowling ; J.K. Rowling","","","England","London","John Blake","2001","","xvi, 127 pages, 8 pages of plates, 20 cm","","YC.2002.a.20737","Biography","English",""
"Children's stories, English--History and criticism","general term","007464406","Monograph","Language material ; Text","Volume","GBA380570","9781859846667","","Blake, Andrew","1955-","person","","Blake, Andrew, 1955- [person]","The irresistible rise of Harry Potter","","","","England ; United States of America","London ; New York","Verso","2002","","118 pages, 20 cm","823.914","YC.2003.a.19093 ; m02/41814","","English",""
"Children's stories, English--History and criticism","general term","008025509","Monograph","Language material ; Text","Volume","","9782130522058","","Smadja, Isabelle","","person","","Smadja, Isabelle [person]","Harry Potter : les raisons d'un succès","","Sociologie d'aujourd'hui","","France","Paris","Presses universitaires de France","2001","1st édition","134 pages, 22 cm","","YA.2002.a.36175","","French",""
"Children's stories, English--History and criticism","general term","008100627","Monograph","Language material ; Text","Volume","GBA311445","9780826214430","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England","Columbia ; London","University of Missouri Press","2002","","x, 408 pages, 25 cm","823.914","YC.2003.a.1856 ; m03/13651","","English",""
"Children's stories, English--History and criticism","general term","008101227","Monograph","Language material ; Text","Volume","GBA346780","9780826452320","","Nel, Philip","1969-","person","","Nel, Philip, 1969- [person]","J.K. Rowling's Harry Potter novels : a reader's guide","","Continuum contemporaries","","England ; United States of America","London ; New York","Continuum","2002","","96 pages, 20 cm","823.914","YA.2003.a.25107","","English",""
